Consumer Item,date,National Average Price(Euros)
Bananas per kg.,2002 January,1.691
Bananas per kg.,2002 February,1.67
Bananas per kg.,2002 March,1.496
Bananas per kg.,2002 April,1.669
Bananas per kg.,2002 May,1.623
Bananas per kg.,2002 June,1.652
Bananas per kg.,2002 July,1.652
Bananas per kg.,2002 August,1.664
Bananas per kg.,2002 September,1.677
Bananas per kg.,2002 October,1.694
Bananas per kg.,2002 November,1.694
Bananas per kg.,2002 December,1.693
Bananas per kg.,2003 January,1.674
Bananas per kg.,2003 February,1.671
Bananas per kg.,2003 March,1.489
Bananas per kg.,2003 April,1.62
Bananas per kg.,2003 May,1.513
Bananas per kg.,2003 June,1.42
Bananas per kg.,2003 July,1.459
Bananas per kg.,2003 August,1.456
Bananas per kg.,2003 September,1.466
Bananas per kg.,2003 October,1.466
Bananas per kg.,2003 November,1.453
Bananas per kg.,2003 December,1.438
Bananas per kg.,2004 January,1.424
Bananas per kg.,2004 February,1.447
Bananas per kg.,2004 March,1.428
Bananas per kg.,2004 April,1.352
Bananas per kg.,2004 May,1.357
Bananas per kg.,2004 June,1.349
Bananas per kg.,2004 July,1.35
Bananas per kg.,2004 August,1.373
Bananas per kg.,2004 September,1.374
Bananas per kg.,2004 October,1.383
Bananas per kg.,2004 November,1.377
Bananas per kg.,2004 December,1.373
Bananas per kg.,2005 January,1.4
Bananas per kg.,2005 February,1.394
Bananas per kg.,2005 March,1.393
Bananas per kg.,2005 April,1.366
Bananas per kg.,2005 May,1.374
Bananas per kg.,2005 June,1.35
Bananas per kg.,2005 July,1.349
Bananas per kg.,2005 August,1.344
Bananas per kg.,2005 September,1.318
Bananas per kg.,2005 October,1.332
Bananas per kg.,2005 November,1.32
Bananas per kg.,2005 December,1.338
Bananas per kg.,2006 January,1.344
Bananas per kg.,2006 February,1.345
Bananas per kg.,2006 March,1.337
Bananas per kg.,2006 April,1.339
Bananas per kg.,2006 May,1.326
Bananas per kg.,2006 June,1.34
Bananas per kg.,2006 July,1.349
Bananas per kg.,2006 August,1.348
Bananas per kg.,2006 September,1.32
Bananas per kg.,2006 October,1.319
Bananas per kg.,2006 November,1.391
Bananas per kg.,2006 December,1.441
Bananas per kg.,2007 January,1.423
Bananas per kg.,2007 February,1.437
Bananas per kg.,2007 March,1.444
Bananas per kg.,2007 April,1.453
Bananas per kg.,2007 May,1.469
Bananas per kg.,2007 June,1.487
Bananas per kg.,2007 July,1.469
Bananas per kg.,2007 August,1.468
Bananas per kg.,2007 September,1.432
Bananas per kg.,2007 October,1.444
Bananas per kg.,2007 November,1.454
Bananas per kg.,2007 December,1.442
Bananas per kg.,2008 January,1.446
Bananas per kg.,2008 February,1.435
Bananas per kg.,2008 March,1.459
Bananas per kg.,2008 April,1.462
Bananas per kg.,2008 May,1.465
Bananas per kg.,2008 June,1.467
Bananas per kg.,2008 July,1.484
Bananas per kg.,2008 August,1.478
Bananas per kg.,2008 September,1.468
Bananas per kg.,2008 October,1.468
Bananas per kg.,2008 November,1.54
Bananas per kg.,2008 December,1.557
Bananas per kg.,2009 January,1.563
Bananas per kg.,2009 February,1.567
Bananas per kg.,2009 March,1.548
Bananas per kg.,2009 April,1.534
Bananas per kg.,2009 May,1.473
Bananas per kg.,2009 June,1.337
Bananas per kg.,2009 July,1.32
Bananas per kg.,2009 August,1.332
Bananas per kg.,2009 September,1.322
Bananas per kg.,2009 October,1.305
Bananas per kg.,2009 November,1.092
Bananas per kg.,2009 December,1.072
Bananas per kg.,2010 January,1.06
Bananas per kg.,2010 February,1.111
Bananas per kg.,2010 March,1.104
Bananas per kg.,2010 April,1.122
Bananas per kg.,2010 May,1.129
Bananas per kg.,2010 June,1.228
Bananas per kg.,2010 July,1.266
Bananas per kg.,2010 August,1.263
Bananas per kg.,2010 September,1.259
Bananas per kg.,2010 October,1.257
Bananas per kg.,2010 November,1.267
Bananas per kg.,2010 December,1.242
Bananas per kg.,2011 January,1.238
Bananas per kg.,2011 February,1.323
Bananas per kg.,2011 March,1.35
Bananas per kg.,2011 April,1.335
Bananas per kg.,2011 May,1.343
Bananas per kg.,2011 June,1.339
Bananas per kg.,2011 July,1.355
Bananas per kg.,2011 August,1.357
Bananas per kg.,2011 September,1.343
Bananas per kg.,2011 October,1.345
Bananas per kg.,2011 November,1.359
Bananas per kg.,2011 December,1.32
Bananas per kg,2012 January,1.33
Bananas per kg,2012 February,1.359
Bananas per kg,2012 March,1.371
Bananas per kg,2012 April,1.362
Bananas per kg,2012 May,1.375
Bananas per kg,2012 June,1.364
Bananas per kg,2012 July,1.355
Bananas per kg,2012 August,1.369
Bananas per kg,2012 September,1.38
Bananas per kg,2012 October,1.356
Bananas per kg,2012 November,1.368
Bananas per kg,2012 December,1.373
Bananas per kg,2013 January,1.369
Bananas per kg,2013 February,1.368
Bananas per kg,2013 March,1.394
Bananas per kg,2013 April,1.375
Bananas per kg,2013 May,1.377
Bananas per kg,2013 June,1.374
Bananas per kg,2013 July,1.376
Bananas per kg,2013 August,1.38
Bananas per kg,2013 September,1.378
Bananas per kg,2013 October,1.373
Bananas per kg,2013 November,1.367
Bananas per kg,2013 December,1.374
Bananas per kg,2014 January,1.366
Bananas per kg,2014 February,1.371
Bananas per kg,2014 March,1.375
Bananas per kg,2014 April,1.374
Bananas per kg,2014 May,1.372
Bananas per kg,2014 June,1.37
Bananas per kg,2014 July,1.373
Bananas per kg,2014 August,1.371
Bananas per kg,2014 September,1.357
Bananas per kg,2014 October,1.361
Bananas per kg,2014 November,1.362
Bananas per kg,2014 December,1.363
